index,status,card_present_flag,account,currency,long_lat,txn_description,merchant_id,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,transaction_id,country,customer_id,merchant_long_lat,movement
0,authorized,1.0,ACC-1598451071,AUD,153.41 -27.95,POS,81c48296-73be-44a7-befa-d053f48ce7cd,Diana,35.39,01/08/2018,F,26,Ashmore,QLD,2018-08-01T01:01:15.000+0000,16.25,a623070bfead4541a6b0fff8a09e706c,Australia,CUS-2487424745,153.38 -27.99,debit
1,authorized,0.0,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,830a451c-316e-4a6a-bf25-e37caedca49e,Diana,21.2,01/08/2018,F,26,Sydney,NSW,2018-08-01T01:13:45.000+0000,14.19,13270a2a902145da9db4c951e04b51b9,Australia,CUS-2487424745,151.21 -33.87,debit
2,authorized,1.0,ACC-1222300524,AUD,151.23 -33.94,POS,835c231d-8cdf-4e96-859d-e9d571760cf0,Michael,5.71,01/08/2018,M,38,Sydney,NSW,2018-08-01T01:26:15.000+0000,6.42,feb79e7ecd7048a5a36ec889d1a94270,Australia,CUS-2142601169,151.21 -33.87,debit
3,authorized,1.0,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,48514682-c78a-4a88-b0da-2d6302e64673,Rhonda,2117.22,01/08/2018,F,40,Buderim,QLD,2018-08-01T01:38:45.000+0000,40.9,2698170da3704fd981b15e64a006079e,Australia,CUS-1614226872,153.05 -26.68,debit
4,authorized,1.0,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,b4e02c10-0852-4273-b8fd-7b3395e32eb0,Diana,17.95,01/08/2018,F,26,Mermaid Beach,QLD,2018-08-01T01:51:15.000+0000,3.25,329adf79878c4cf0aeb4188b4691c266,Australia,CUS-2487424745,153.44 -28.06,debit
6,authorized,1.0,ACC-2776252858,AUD,144.95 -37.76,SALES-POS,3aa18033-a0a9-4190-a117-b7caaf4d07e3,Kristin,1248.36,01/08/2018,F,43,Kalkallo,VIC,2018-08-01T02:23:04.000+0000,61.06,b79ca208099c4c28aa5dae966096d842,Australia,CUS-4123612273,144.95 -37.53,debit
7,authorized,1.0,ACC-2776252858,AUD,144.95 -37.76,POS,ee58145d-26e8-4b01-9cd9-62378014f21d,Kristin,1232.75,01/08/2018,F,43,Melbourne,VIC,2018-08-01T04:11:25.000+0000,15.61,e1c4a50d6a0549cbb3710a62a2fa00d5,Australia,CUS-4123612273,144.96 -37.81,debit
8,authorized,1.0,ACC-182446574,AUD,116.06 -32.00,POS,cfbf535e-caa8-499f-9d41-bbdc2b836d85,Tonya,213.16,01/08/2018,F,27,Yokine,WA,2018-08-01T04:40:00.000+0000,19.25,799e39eb2c1b411185424b0f2cd18bda,Australia,CUS-3026014945,115.85 -31.9,debit
12,authorized,1.0,ACC-182446574,AUD,116.06 -32.00,SALES-POS,33952b07-859c-4c0a-8b1d-813a5f6b444c,Tonya,207.08,01/08/2018,F,27,Cockburn Central,WA,2018-08-01T06:06:40.000+0000,6.08,9ba4928260b24fbb8fb00f1f8d86b868,Australia,CUS-3026014945,115.86 -32.13,debit
15,authorized,1.0,ACC-1903037542,AUD,153.05 -27.61,POS,d920de7f-959c-4d9a-aee5-930689a2f8cd,Jeffrey,2.85,01/08/2018,M,30,Mount Ommaney,QLD,2018-08-01T07:20:48.000+0000,10.79,28347ba260d84f8d81ab70d9e901ea8e,Australia,CUS-860700529,152.94 -27.55,debit
19,authorized,1.0,ACC-4258502723,AUD,145.45 -37.74,POS,b5565fff-0333-4c74-a61a-56a074d0ec0f,Kimberly,708.28,01/08/2018,F,24,Brunswick,VIC,2018-08-01T08:00:11.000+0000,7.37,2f77c3cbe847468bbf99f7f0cead69f9,Australia,CUS-3378712515,144.96 -37.78,debit
20,authorized,1.0,ACC-1598451071,AUD,153.41 -27.95,POS,f2ef6270-cf91-409f-a6a2-fbd6735ea500,Diana,3.85,01/08/2018,F,26,Byron Bay,NSW,2018-08-01T08:09:42.000+0000,14.1,1c12c9ad77894ef8b507fb091e41e928,Australia,CUS-2487424745,153.6 -28.63,debit
21,authorized,0.0,ACC-2890243754,AUD,153.32 -27.93,POS,7e8bf667-e724-4359-a406-3538a3e27b4e,Joseph,275.93,01/08/2018,M,37,Lismore,NSW,2018-08-01T08:19:14.000+0000,24.77,1f12467d33ce4609890fb64978ebbcbb,Australia,CUS-2695611575,153.28 -28.81,debit
22,authorized,1.0,ACC-3481401842,AUD,115.74 -31.72,SALES-POS,38997041-c666-41a4-857b-9aaea10c008d,Tiffany,259.37,01/08/2018,F,25,Fremantle,WA,2018-08-01T08:28:45.000+0000,13.67,daae532bc1114fbd86fca277f349a397,Australia,CUS-1669695324,115.76 -32.06,debit
23,authorized,0.0,ACC-2615038700,AUD,145.35 -38.03,POS,354f40cb-55bc-4a81-a00d-c7faede29f8b,Emily,30583.15,01/08/2018,F,43,Mordialloc,VIC,2018-08-01T08:47:48.000+0000,12.08,49417bad354f4137971a954c26657e2d,Australia,CUS-3255104878,145.09 -38.01,debit
24,authorized,1.0,ACC-966140392,AUD,147.08 -37.97,POS,7ec296e9-6feb-46b0-b755-115ce31678c1,Joseph,793.64,01/08/2018,M,21,Chatswood,NSW,2018-08-01T08:57:20.000+0000,72.12,80005b72314045ff9b7d48b6f2b63615,Australia,CUS-537508723,151.18 -33.8,debit
27,authorized,1.0,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,8a0fab50-4efb-41e2-a569-29346eb6c9de,Michelle,1636.91,01/08/2018,F,19,Granville,NSW,2018-08-01T09:02:54.000+0000,17.96,455044b17a8648a2945d7c39e8274351,Australia,CUS-883482547,151 -33.83,debit
28,authorized,1.0,ACC-2673069055,AUD,152.99 -27.49,SALES-POS,73b8eb5f-d6e6-43fb-896a-84faa162d544,Richard,11525.54,01/08/2018,M,24,Pacific Paradise,QLD,2018-08-01T09:06:57.000+0000,14.49,221c4f7dd53240a18ceab43e1b879a62,Australia,CUS-51506836,153.08 -26.61,debit
29,authorized,0.0,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,4af25042-a1a4-4688-90b5-240d790e5332,Michelle,1625.34,01/08/2018,F,19,Alexandria,NSW,2018-08-01T09:11:00.000+0000,11.57,82acf03790844776b4587fd6e6f526c5,Australia,CUS-883482547,151.19 -33.92,debit
30,authorized,1.0,ACC-1037050564,AUD,153.10 -27.66,POS,02d45834-6f65-4f52-9a33-0b242dd7a078,Rhonda,2072.1,01/08/2018,F,40,North Lakes,QLD,2018-08-01T09:15:03.000+0000,45.12,ad101b96b9d44b968b2519e2bb26a649,Australia,CUS-1614226872,152.99 -27.21,debit
31,authorized,0.0,ACC-3485804958,AUD,138.52 -35.01,POS,a08935a2-99a8-49f0-b73a-f8de51ca0abd,Jessica,12529.59,01/08/2018,F,34,Findon,SA,2018-08-01T09:19:06.000+0000,33.89,89050ee5c5aa4e79b03e717518236bf9,Australia,CUS-1196156254,138.53 -34.9,debit
32,authorized,1.0,ACC-4258502723,AUD,145.45 -37.74,SALES-POS,66c00c79-11a0-4c11-af28-a31a40931a90,Kimberly,698.61,01/08/2018,F,24,Doncaster,VIC,2018-08-01T09:23:09.000+0000,9.67,d79653456df54a20a564af7069156f60,Australia,CUS-3378712515,145.13 -37.78,debit
33,authorized,1.0,ACC-3100725361,AUD,145.73 -17.03,POS,7a368a0e-c231-4458-a4e0-43a3f6953954,Ronald,2086.31,01/08/2018,M,25,Smithfield,QLD,2018-08-01T09:27:12.000+0000,4.38,7c855689bafb457084fbe8e42824a36e,Australia,CUS-2178051368,145.7 -16.81,debit
34,authorized,1.0,ACC-1990648130,AUD,114.62 -28.80,POS,0898833a-fca8-40b5-a738-8e1d4aa98322,Kaitlyn,1689.89,01/08/2018,F,21,Alstonville,NSW,2018-08-01T09:39:21.000+0000,28.49,4c299aa143c94a03bee6fba9db884567,Australia,CUS-809013380,153.44 -28.84,debit
35,authorized,1.0,ACC-1990648130,AUD,114.62 -28.80,POS,55800aa3-486e-43f1-a0a3-1130709e4c0f,Kaitlyn,1675.46,01/08/2018,F,21,Leonora,WA,2018-08-01T09:43:24.000+0000,14.43,e25a2c80035844a4846625adb43d893a,Australia,CUS-809013380,121.33 -28.9,debit
36,authorized,1.0,ACC-2673069055,AUD,152.99 -27.49,SALES-POS,30077f02-9082-4179-b287-3c927eed1be9,Richard,11438.51,01/08/2018,M,24,Greenslopes,QLD,2018-08-01T09:47:26.000+0000,87.03,e06884699c114da592c8dcde6d30cab3,Australia,CUS-51506836,153.05 -27.51,debit
37,authorized,1.0,ACC-154431271,AUD,153.09 -27.48,POS,b7b3f792-717c-4e96-ab82-1580ec58a612,Lori,38.42,01/08/2018,F,18,Browns Plains,QLD,2018-08-01T09:51:29.000+0000,36.28,bad454ebe43940e2aaa0e8a013f49a91,Australia,CUS-3702001629,153.05 -27.66,debit
38,authorized,0.0,ACC-3689607373,AUD,115.79 -31.79,POS,e54ebe26-344e-4084-a102-4ca6bf82b25b,Virginia,1089.59,01/08/2018,F,20,West Perth,WA,2018-08-01T09:55:32.000+0000,15.91,303ab7bca5764bb3863758b3142b74bb,Australia,CUS-127297539,115.84 -31.95,debit
39,authorized,1.0,ACC-721712940,AUD,145.09 -37.82,POS,9ba904d4-5b0e-403c-b1bc-71e6a2bcdc0f,Andrew,49756.21,01/08/2018,M,78,Preston,VIC,2018-08-01T09:59:35.000+0000,25.7,431119a28af748cbb12920804a7fcda3,Australia,CUS-1646183815,145.03 -37.74,debit
46,authorized,1.0,ACC-1683215619,AUD,138.67 -34.86,SALES-POS,26f1b7d4-64fb-4c25-8734-47f7409fa7c1,Barry,301.65,01/08/2018,M,38,Bomaderry,NSW,2018-08-01T10:12:51.000+0000,20.43,06df75936c564067b220a0660ad8b455,Australia,CUS-1604596597,150.6 -34.84,debit
47,authorized,0.0,ACC-2901672282,AUD,255.00 -573.00,SALES-POS,7ce5471b-363c-46ab-b398-ca517347829a,Daniel,1290.08,01/08/2018,M,22,Sydney,NSW,2018-08-01T10:27:08.000+0000,31.62,826f09d26daf4b7282f597cabfecaf81,Australia,CUS-1617121891,151.21 -33.87,debit
48,authorized,1.0,ACC-1652235822,AUD,144.89 -37.81,SALES-POS,932b9301-65da-4718-aa78-679daba791fb,Renee,18784.07,01/08/2018,F,38,Doncaster,VIC,2018-08-01T10:41:25.000+0000,16.13,0a0aaf7ca4894fbeb41e69a695458fa1,Australia,CUS-2206365095,145.13 -37.78,debit
49,authorized,1.0,ACC-2615038700,AUD,145.35 -38.03,POS,07df1647-c4aa-479b-a7c2-1952aafbc6bb,Emily,29645.42,01/08/2018,F,43,Dandenong South,VIC,2018-08-01T10:55:42.000+0000,937.73,44806f4994f249e9a7411776530e0ff6,Australia,CUS-3255104878,145.21 -38.03,debit
52,authorized,1.0,ACC-602667573,AUD,151.23 -33.96,POS,a1ca1b7e-a737-4fc8-b070-3e606f52c0d6,Michael,454.94,01/08/2018,M,40,Margaret River,WA,2018-08-01T11:04:45.000+0000,11.64,f43f13d2a2d64627bd7849e55076d5ad,Australia,CUS-2031327464,115.07 -33.95,debit
53,authorized,1.0,ACC-414431115,AUD,142.77 -37.06,POS,6beb3465-4cb7-449b-b395-0eaa7764d4fe,Amy,27.86,01/08/2018,F,43,Robinvale,VIC,2018-08-01T11:11:33.000+0000,28.0,3f549647f8c64c35a471c57296fa3ee3,Australia,CUS-2599279756,142.77 -34.58,debit
54,authorized,1.0,ACC-1243371644,AUD,150.90 -33.78,POS,a33597e2-742c-4bde-aa32-880e687454b2,Gregory,689.22,01/08/2018,M,42,Chatswood,NSW,2018-08-01T11:18:22.000+0000,64.98,7439e4de7ee64643bae56d82cf6d60ec,Australia,CUS-3904958894,151.2 -33.79,debit
55,authorized,1.0,ACC-602667573,AUD,151.23 -33.96,SALES-POS,1c6feb54-37a6-47b4-ae0a-a2f3005e7087,Michael,440.66,01/08/2018,M,40,Chatswood,NSW,2018-08-01T11:25:10.000+0000,14.28,18a79fa1895146598803550daf9b8f5d,Australia,CUS-2031327464,151.18 -33.8,debit
56,authorized,1.0,ACC-2615038700,AUD,145.35 -38.03,SALES-POS,54b35383-6f69-453b-be91-b63005b97135,Emily,29143.75,01/08/2018,F,43,Mossman Gorge,QLD,2018-08-01T11:31:58.000+0000,501.67,3972bef449b54d3b9db6bc77e1c8d165,Australia,CUS-3255104878,145.35 -16.47,debit
57,authorized,1.0,ACC-1334819143,AUD,145.13 -37.70,POS,1e7209b8-f5d6-4241-a328-f0aa772d0c3b,Christopher,58154.74,01/08/2018,M,33,Rockbank,VIC,2018-08-01T11:38:46.000+0000,17.97,de0afdbea75448bab771d107c3d9634a,Australia,CUS-3117610635,144.63 -37.7,debit
58,authorized,0.0,ACC-4258502723,AUD,145.45 -37.74,POS,e77e7118-9958-4ae0-8ecd-b705bde43c16,Kimberly,589.1,01/08/2018,F,24,Sydney,NSW,2018-08-01T11:45:34.000+0000,109.51,fcb9829f70104a338b34cee4eb6cc9c8,Australia,CUS-3378712515,151.21 -33.87,debit
59,authorized,0.0,ACC-3100725361,AUD,145.73 -17.03,POS,cd28c099-0971-41a5-a9cc-d44477c350df,Ronald,2058.92,01/08/2018,M,25,Cobram,VIC,2018-08-01T11:52:22.000+0000,27.39,646333af54b7418db2ffddf4466e027d,Australia,CUS-2178051368,145.65 -35.92,debit
60,authorized,1.0,ACC-3541460373,AUD,145.00 -37.83,POS,b64b1423-0992-4942-b955-5785b81c1cd6,Jeffrey,1109.58,01/08/2018,M,24,Kilsyth,VIC,2018-08-01T11:59:11.000+0000,27.39,a4c5dbf8884f40efb7d37ee62c121da5,Australia,CUS-1433879684,145.32 -37.8,debit
66,authorized,1.0,ACC-2249586092,AUD,115.98 -32.07,POS,7cdb62b5-6632-4d1d-8e28-a4d26f5cbb74,Edward,4172.16,01/08/2018,M,19,Ceduna,SA,2018-08-01T12:15:26.000+0000,3.28,519228444b164ae2b61bc1e2bca47283,Australia,CUS-443776336,133.67 -32.11,debit
67,authorized,1.0,ACC-3827517394,AUD,151.12 -33.89,POS,94f323d7-ffeb-4b35-9c10-e5670d9b7bd8,Craig,30163.44,01/08/2018,M,28,Bass Hill,NSW,2018-08-01T12:50:31.000+0000,33.45,bdcb34e0a5d9423089deb9a6e85e32a5,Australia,CUS-2663907001,150.99 -33.9,debit
71,authorized,0.0,ACC-2615038700,AUD,145.35 -38.03,POS,47fc3b6a-6e2d-4cd1-87ce-00360cf62893,Emily,29128.11,01/08/2018,F,43,Lara,VIC,2018-08-01T13:45:33.000+0000,15.64,74c7d8e7a52c411ca0457469d55d5a92,Australia,CUS-3255104878,144.4 -38.02,debit
73,authorized,1.0,ACC-1799207998,AUD,150.68 -33.79,POS,4969262f-2161-43c1-a48d-1799844fb859,Susan,119.88,01/08/2018,F,20,Minchinbury,NSW,2018-08-01T14:01:55.000+0000,17.26,5af4f4be8c7344ddbb0e36b48b29d024,Australia,CUS-164374203,150.83 -33.79,debit
74,authorized,0.0,ACC-4258502723,AUD,145.45 -37.74,SALES-POS,17d20b9f-f49d-4164-9e7d-a1043052faae,Kimberly,538.85,01/08/2018,F,24,Melbourne,VIC,2018-08-01T14:10:42.000+0000,50.25,ce39f465e532476da3322a54ed8b4c7c,Australia,CUS-3378712515,144.96 -37.81,debit
75,authorized,1.0,ACC-958000567,AUD,130.90 -12.37,POS,73c0924f-dc35-4ab1-8136-2b5775cf4280,Sandra,486.68,01/08/2018,F,34,Stuart Park,NT,2018-08-01T14:19:28.000+0000,22.25,c9ff96e92ff4416383ce3cba52c211f4,Australia,CUS-4142663097,130.84 -12.44,debit
76,authorized,1.0,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,1ab3e343-3775-4d54-9dac-2b0834500025,Rhonda,2029.05,01/08/2018,F,40,Port Macquarie,NSW,2018-08-01T14:28:14.000+0000,11.05,353c30ef66e345059a22305b36f138a2,Australia,CUS-1614226872,152.92 -31.43,debit
77,authorized,1.0,ACC-1710017148,AUD,150.82 -34.01,POS,499b1c74-d767-43d6-a084-b20d00010c70,Michelle,1609.16,01/08/2018,F,19,Blacktown,NSW,2018-08-01T14:37:01.000+0000,16.18,927d07bdbeb743ebab2865f86132cd99,Australia,CUS-883482547,150.91 -33.77,debit
78,authorized,0.0,ACC-602667573,AUD,151.23 -33.96,SALES-POS,89556e0f-b593-4b89-adb4-8f279923bb24,Michael,429.2,01/08/2018,M,40,Brookvale,NSW,2018-08-01T14:45:47.000+0000,11.46,06232e1cf77744ccb2ecb302de8dadc3,Australia,CUS-2031327464,151.27 -33.77,debit
